"","Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH"
"2","2001/2002",2002,120,120,100,1469,1366.5,78.3658435670786,1784.8863045341
"3","2002/2003",2003,120,120,100,1515,1177,71.6203390336308,1542.98542750402
"4","2003/2004",2004,120,120,100,1218,947,69.7305872475928,998.498908540095
"5","2004/2005",2005,121,121,100,1506,1117,75.6602467097725,1180.11146467964
"6","2005/2006",2006,120,120,100,1632,1462,80.5382987811218,1464.54196470943
"7","2006/2007",2007,120,120,100,1536,1151,75.3047425378491,1420.048246461
"8","2007/2008",2008,120,120,100,1192,906.5,65.3748842740778,664.639812313929
"9","2008/2009",2009,121,121,100,1447,1181.5,69.7438752227409,1055.46894642802
"10","2009/2010",2010,120,120,100,1497,1196,72.0349222210354,1030.47084665121
"11","2010/2011",2011,120,120,100,1555,1116,74.1110204978627,652.669365368748
"12","2011/2012",2012,120,120,100,1390,998.5,71.3346455500897,988.358714413205
"13","2012/2013",2013,121,121,100,1427,1122,74.7914365224842,1063.53749561169
"14","2013/2014",2014,120,120,100,1272,869,66.7975990209923,944.356298081137
"15","2014/2015",2015,120,120,100,766,756,59.0290637707009,1599.20833383868
"16","2015/2016",2016,120,120,100,1454,1186,72.7568273060058,1131.35030346627
"17","2016/2017",2017,121,121,100,1306,1090.5,74.3378845151972,1813.17620944676
"18","2017/2018",2018,120,120,100,1244,1122.5,68.8821260296732,1509.41362950504
"19","2018/2019",2019,120,120,100,1065,802.5,60.2737091983044,824.705740504874
"20","2019/2020",2020,120,120,100,1382,1231,75.5650434740557,1606.16606358167
"21","2020/2021",2021,121,121,100,1546,1301,78.3519163465452,2107.67904246714
"22","2021/2022",2022,120,120,100,995,743.5,56.7594529382966,779.977804588516
"23","2022/2023",2023,120,120,100,1137,978.5,67.9585245062129,1148.74454932206
"24","2023/2024",2024,120,120,100,1594,1297,76.1383311628145,1345.22626072354
"25","2024/2025",2025,121,121,100,1556,1315,76.5731381030636,1328.88060530617
"26","2025/2026",2026,120,120,100,1315,1133,72.7822689913753,1682.28545660132
"27","2026/2027",2027,120,120,100,1061,833.5,62.7966064232943,742.046675619156
"28","2027/2028",2028,120,120,100,1297,1083.5,68.8132889857158,1087.96006352241
"29","2028/2029",2029,121,121,100,1370,965.5,72.3241712258072,711.940070300084
"30","2029/2030",2030,120,120,100,1362,1034.5,70.605649071477,685.414198333784
"31","2030/2031",2031,120,120,100,1407,1246,77.0090585022639,1827.51403807665
"32","2031/2032",2032,120,120,100,1204,943.5,70.473334811043,1621.96434064834
"33","2032/2033",2033,121,121,100,1457,1061.5,74.2273847701313,935.850013366246
"34","2033/2034",2034,120,120,100,1213,935.5,70.7031338216658,744.588015877139
"35","2034/2035",2035,120,120,100,1065,835.5,62.3941751023767,635.424377282299
"36","2035/2036",2036,120,120,100,1204,984,68.8068540111112,1518.19003293728
"37","2036/2037",2037,121,121,100,1501,1302,76.301659557414,1082.39376155679
"38","2037/2038",2038,120,120,100,1048,674.5,65.680022996564,498.855305765043
"39","2038/2039",2039,120,120,100,1572,1322.5,75.9012191758221,1229.63538059604
"40","2039/2040",2040,120,120,100,1635,1523,81.3063331842626,1969.93019351592
"41","2040/2041",2041,121,121,100,1515,1269,72.1308345605816,1241.82433654851
"42","2041/2042",2042,120,120,100,1474,977.5,68.6310469004381,540.070334032728
"43","2042/2043",2043,120,120,100,1507,1544.5,78.1767136757199,2747.17251359551
"44","2043/2044",2044,120,120,100,1186,724.5,67.3602145882839,459.644480662897
"45","2044/2045",2045,121,121,100,1593,1133,74.5791023752279,760.751925305079
"46","2045/2046",2046,120,120,100,1196,936,65.3577077120973,684.633019569594
"47","2046/2047",2047,120,120,100,1173,831,63.8823409058365,868.254554314876
"48","2047/2048",2048,120,120,100,1447,1081,68.8660313809881,752.375791272085
"49","2048/2049",2049,121,121,100,1446,1066.5,74.7834299503291,763.089597407331
"50","2049/2050",2050,120,120,100,1162,767.5,67.7215325415819,344.867135033573
"51","2050/2051",2051,120,120,100,987,619.5,62.0523796812772,545.043905740195
"52","2051/2052",2052,120,120,100,1244,1071,70.4070263805929,1294.90928012857
"53","2052/2053",2053,121,121,100,1367,1166,71.4897030591068,2000.26916835622
"54","2053/2054",2054,120,120,100,1554,1357,76.0720953397592,1739.5757562119
"55","2054/2055",2055,120,120,100,1630,1319,77.6068068561929,1170.95184336565
"56","2055/2056",2056,120,120,100,1318,1010.5,68.5487617322995,1169.143240538
"57","2056/2057",2057,121,121,100,1066,872.5,65.6487328892549,2192.59109858083
"58","2057/2058",2058,120,120,100,1291,1065.5,67.3137664128151,1074.7133796804
"59","2058/2059",2059,120,120,100,1582,1377.5,78.9964436663208,1331.51050955576
"60","2059/2060",2060,120,120,100,1058,789,55.4378431147121,718.248105888522
"61","2060/2061",2061,121,121,100,1583,1254,78.8407243891053,1214.0934505196
"62","2061/2062",2062,120,120,100,1148,947.5,66.9013368131707,2066.15178105193
"63","2062/2063",2063,120,120,100,1107,651,64.3319894805412,802.059486323077
"64","2063/2064",2064,120,120,100,1197,858.5,66.7498857432098,668.334402013234
"65","2064/2065",2065,121,121,100,1404,1110,70.3834531679757,1019.85268599222
"66","2065/2066",2066,120,120,100,1538,1275.5,75.3083861465447,1179.34702488913
"67","2066/2067",2067,120,120,100,1528,1122,73.8768876751307,910.435710259056
"68","2067/2068",2068,120,120,100,1132,783.5,66.7327158679718,555.927072929588
"69","2068/2069",2069,121,121,100,1546,1450,80.1227428947697,1673.58737880177
"70","2069/2070",2070,120,120,100,1288,1035.5,70.2752713980314,1229.65212393692
"71","2070/2071",2071,120,120,100,1400,1044.5,69.9829025939148,1122.05063400686
"72","2071/2072",2072,120,120,100,1144,959.5,66.3490046916081,1482.05491782177
"73","2072/2073",2073,121,121,100,1256,1134,76.8812471901536,2167.35632958209
"74","2073/2074",2074,120,120,100,1544,1380.5,77.6597426408832,1711.02161760212
"75","2074/2075",2075,120,120,100,1096,941.5,65.2519681562638,2529.54285451845
"76","2075/2076",2076,120,120,100,1331,1282.5,75.6305196674542,2308.00677594029
"77","2076/2077",2077,121,121,100,1722,1425.5,79.781018772854,1285.73033773153
"78","2077/2078",2078,120,120,100,1094,789.5,65.8835628873332,563.178168903655
"79","2078/2079",2079,120,120,100,1302,808,62.6586272699419,253.234686478433
"80","2079/2080",2080,120,120,100,1520,1119,74.179222702162,685.698321205421
"81","2080/2081",2081,121,121,100,1527,1268,77.586190219667,1477.23706945234
"82","2081/2082",2082,120,120,100,1642,1205,71.6948514435352,987.777388597342
"83","2082/2083",2083,120,120,100,1384,1055,71.874211671042,1176.3775737315
"84","2083/2084",2084,120,120,100,1577,1400,77.5512306312816,1784.61073949237
"85","2084/2085",2085,121,121,100,1156,760.5,63.9762302296762,876.965804511278
"86","2085/2086",2086,120,120,100,1493,1170.5,70.6716480834544,710.971435262157
"87","2086/2087",2087,120,120,100,1220,884,66.1129099735225,737.152510138405
"88","2087/2088",2088,120,120,100,1379,983.5,69.3543468182336,709.306604204673
"89","2088/2089",2089,121,121,100,1331,1035,71.0650278168837,1116.38825972073
"90","2089/2090",2090,120,120,100,1479,1064,75.1413890146476,605.218890637383
"91","2090/2091",2091,120,120,100,1203,721,65.7708653628468,270.533598110113
"92","2091/2092",2092,120,120,100,1313,943,67.371467185007,447.712211441978
"93","2092/2093",2093,121,121,100,1242,898,68.3204003561118,432.710374018258
"94","2093/2094",2094,120,120,100,1524,1274,75.6107569885909,1186.63736290346
"95","2094/2095",2095,120,120,100,1419,1177.5,70.0659485902729,957.569858220272
"96","2095/2096",2096,120,120,100,1598,1158.5,77.1212444040859,507.152626788361
"97","2096/2097",2097,121,121,100,1454,1213,75.5138270722241,2477.32987208404
"98","2097/2098",2098,120,120,100,1160,1080,73.6139486323823,2001.43607980731
"99","2098/2099",2099,120,120,100,1367,1085,69.4495928965057,734.038865698779
"100","2099/2100",2100,120,120,100,1323,1014.5,66.9230649327302,1277.60633491517
"101","2100/2101",2101,120,61,50.8333333333333,868,705,40.2013713891431,765.245782561084
