"Season","End_year","Season_days","Data_days","Interpolated_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"1973/1974",1974,120,120,0,100,76.4176813909763,1027.01645678176,880
"1974/1975",1975,120,120,0,100,83.1195560510332,897.626445181333,621
"1975/1976",1976,120,120,0,100,66.9701952037486,352.838644152682,1371
"1976/1977",1977,121,121,0,100,65.5972061547095,1041.05801262261,1285
"1977/1978",1978,120,120,0,100,63.2948994585951,1518.92638312923,1387
"1978/1979",1979,120,120,0,100,52.6656180492716,676.773029070988,1757
"1979/1980",1980,120,120,0,100,64.6552289749429,714.963162650703,1347
"1980/1981",1981,121,121,0,100,50.0407874270186,1103.28029116133,1678
"1982/1983",1983,120,120,0,100,70.7706245678166,1331.96924854862,1031
"1983/1984",1984,120,120,0,100,67.5521919038649,823.082630963414,1266
"1984/1985",1985,121,121,0,100,55.197646739952,722.01695597393,1744
"1985/1986",1986,120,120,0,100,48.2278503580033,713.029409019509,1643
"1986/1987",1987,120,120,0,100,57.9748023866559,890.631223856355,1396
"1987/1988",1988,120,120,0,100,79.9323161959969,1091.82432912022,709
"1988/1989",1989,121,121,0,100,79.9580473817396,708.487658588449,992
"1989/1990",1990,120,120,0,100,71.3298396044856,2408.79370991117,1046
"1990/1991",1991,120,120,0,100,62.0733149016742,647.910651875776,1275
"1991/1992",1992,120,120,0,100,72.245699992241,543.917534128414,1056
"1992/1993",1993,121,121,0,100,69.6049605482544,1189.3167398097,1119
"1993/1994",1994,120,120,0,100,68.4969212925198,412.884975566412,997
"1994/1995",1995,120,120,0,100,76.4195493761986,1537.16619553627,921
"1995/1996",1996,120,120,0,100,44.6530662144287,166.985469329171,2202
"1996/1997",1997,121,121,0,100,62.1637294427082,1791.39055725373,1502
"1997/1998",1998,120,120,0,100,73.7075322444962,1966.49316975684,829
"1998/1999",1999,120,120,1,99.1666666666667,62.8956143565752,611.308515853947,1378
"1999/2000",2000,120,120,0,100,69.5781787520723,1037.4529803656,1145
"2000/2001",2001,121,121,0,100,72.7905530350145,1788.4052127013,1084
"2001/2002",2002,120,120,0,100,69.0620564573092,1368.06829218147,1296
"2002/2003",2003,120,120,0,100,57.9652366154423,566.280766928336,1675
"2003/2004",2004,120,120,0,100,67.8905117189934,1542.53416907624,1222
"2004/2005",2005,121,121,0,100,66.2226727027091,969.790870682336,1190
"2005/2006",2006,120,120,0,100,51.9194746012945,609.106904117158,1713
"2006/2007",2007,120,120,0,100,86.9230677240121,2858.27567230072,491
"2007/2008",2008,120,120,0,100,76.9052601085759,1507.07671218365,877
"2008/2009",2009,121,121,0,100,65.885890575586,1257.30080508185,1292
"2009/2010",2010,120,120,0,100,55.7935003852053,1415.30850132834,1591
"2010/2011",2011,120,120,0,100,57.3628299501761,1953.35875703814,1665
"2011/2012",2012,120,120,0,100,72.3310358329445,1313.20376782003,1030
"2012/2013",2013,121,121,0,100,64.4378444385802,1011.31275333161,1411
"2013/2014",2014,120,120,0,100,80.4962618339005,1703.10493353941,714
"2014/2015",2015,120,120,0,100,78.4226472400214,2134.66956240032,851
"2015/2016",2016,120,120,0,100,78.3340413199476,3619.21813201578,753
"2016/2017",2017,121,121,0,100,67.7597646520862,1274.53939285688,1411
"2017/2018",2018,120,120,0,100,73.9080263401402,1062.17520157946,917
"2018/2019",2019,120,120,0,100,75.3605889768714,2209.77081248909,940
