"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","distance","Overlap_years","Perc_interval_covered"
"124170_99999","LUBIN MIASTO","PL",51.417,16.2,19390810,19411231,21.09,0,0
"124150_99999","LEGNICA","PL",51.2,16.2,19370401,20221119,29.74,47,100
"124250_99999","WROCLAW I","PL",51.117,16.883,19280101,20221117,40.47,47,100
"124240_99999","STRACHOWICE","PL",51.103,16.886,19390102,20221119,41.78,47,100
"124280_99999","WROCLAW/STRACHOWICE","PL",51.1,16.883,20020601,20220901,41.91,17.58,37.41
"124160_99999","WSCHOWA","PL",51.8,16.317,19360102,19420630,47.35,0,0
"124180_99999","LESZNO","PL",51.833,16.533,19730101,20211212,49.34,47,100
"125010_99999","MIROSLAWICE","PL",50.95,16.767,19390901,19420628,52.39,0,0
"125230_99999","SWIDNICA","PL",50.85,16.483,19410114,19431231,60.09,0,0
"125220_99999","SLEZA","PL",50.867,16.717,19400414,19420630,60.13,0,0
"124030_99999","NOWE MIASTECZKO","PL",51.683,15.733,19360102,19420630,62.41,0,0
"124060_99999","SZPROTAWA-WIECHLICE","PL",51.561,15.585,19390815,20191108,66.36,46.86,99.69
"124140_99999","BOLESLAWIEC MIASTO","PL",51.267,15.567,19360102,20160328,66.45,43.24,92
"124300_99999","OLESNICA","PL",51.217,17.45,19400115,19410531,68.99,0,0
"125210_99999","OLAWA","PL",50.983,17.25,19390901,19420630,69.28,0,0
"125110_99999","WALBRZYCH","PL",50.767,16.283,19360102,19420630,70.96,0,0
"125000_99999","JELENIA GORA","PL",50.9,15.8,19330601,20221119,73.29,47,100
"124040_99999","STARA KOPERNIA","PL",51.633,15.383,19390821,19420930,82.12,0,0
"124260_99999","SYCOW","PL",51.3,17.717,19360102,20180404,85.38,45.26,96.3
"125250_99999","BRZEG","PL",50.833,17.433,19380815,19430531,90.05,0,0
"124000_99999","ZIELONA GORA","PL",51.933,15.533,19310101,20221119,90.15,47,100
"116440_99999","ZACLER","EZ",50.667,15.917,19381117,19411231,90.23,0,0
"116450_99999","BROUMOV","EZ",50.583,16.333,19400816,19420630,90.54,0,0
"116530_99999","SNEZKA","EZ",50.733,15.733,20090501,20221119,90.74,10.67,22.7
"125100_99999","SNIEZKA","PL",50.733,15.733,19520101,20221119,90.74,47,100
