"","chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","distance","Overlap_years","Perc_interval_covered"
"4161","124170_99999","LUBIN MIASTO","PL",51.417,16.2,19390810,19411231,21.09,0,0
"4159","124150_99999","LEGNICA","PL",51.2,16.2,19370401,20221031,29.74,31,100
"4166","124250_99999","WROCLAW I","PL",51.117,16.883,19280101,20220614,40.47,31,100
"4165","124240_99999","STRACHOWICE","PL",51.103,16.886,19390102,20221031,41.78,31,100
"4168","124280_99999","WROCLAW/STRACHOWICE","PL",51.1,16.883,20020601,20220901,41.91,18.59,59.95
"4160","124160_99999","WSCHOWA","PL",51.8,16.317,19360102,19420630,47.35,0,0
"4162","124180_99999","LESZNO","PL",51.833,16.533,19730101,20211212,49.34,31,100
"4190","125010_99999","MIROSLAWICE","PL",50.95,16.767,19390901,19420628,52.39,0,0
"4198","125230_99999","SWIDNICA","PL",50.85,16.483,19410114,19431231,60.09,0,0
"4197","125220_99999","SLEZA","PL",50.867,16.717,19400414,19420630,60.13,0,0
"4153","124030_99999","NOWE MIASTECZKO","PL",51.683,15.733,19360102,19420630,62.41,0,0
"4156","124060_99999","SZPROTAWA-WIECHLICE","PL",51.561,15.585,19390815,20191108,66.36,29.85,96.3
"4158","124140_99999","BOLESLAWIEC MIASTO","PL",51.267,15.567,19360102,20160328,66.45,26.24,84.65
"4170","124300_99999","OLESNICA","PL",51.217,17.45,19400115,19410531,68.99,0,0
"4196","125210_99999","OLAWA","PL",50.983,17.25,19390901,19420630,69.28,0,0
"4192","125110_99999","WALBRZYCH","PL",50.767,16.283,19360102,19420630,70.96,0,0
"4189","125000_99999","JELENIA GORA","PL",50.9,15.8,19330601,20221031,73.29,31,100
"4154","124040_99999","STARA KOPERNIA","PL",51.633,15.383,19390821,19420930,82.12,0,0
"4167","124260_99999","SYCOW","PL",51.3,17.717,19360102,20180404,85.38,28.26,91.15
"4200","125250_99999","BRZEG","PL",50.833,17.433,19380815,19430531,90.05,0,0
"4150","124000_99999","ZIELONA GORA","PL",51.933,15.533,19310101,20221031,90.15,31,100
"3942","116440_99999","ZACLER","EZ",50.667,15.917,19381117,19411231,90.23,0,0
"3943","116450_99999","BROUMOV","EZ",50.583,16.333,19400816,19420630,90.54,0,0
"3948","116530_99999","SNEZKA","EZ",50.733,15.733,20090501,20221031,90.74,11.67,37.64
"4191","125100_99999","SNIEZKA","PL",50.733,15.733,19520101,20221031,90.74,31,100
